341,4637,555,4361,224,204
321,1218,4573,272,2180,7599
2554,1089,303,5404,316,2590
5624,708,2016,5401,5490,2607
87,219,1640,6808,1391,1807
5404,7877,4361,4637,708,316
272,5490,321,1640,555,1218
7599,5401,5624,224,1391,2590
341,1089,1807,7877,303,4573
2607,6808,2180,2554,204,87
2016,316,4573,219,303,5401
1218,5404,87,5490,7877,341
204,1391,1640,708,224,7599
272,2554,2016,4361,555,1089
2590,2180,219,5624,6808,4637
5404,1807,303,2607,321,87
6808,708,204,5490,316,2180
1089,5624,4573,2016,1807,555
5401,4637,224,321,2590,341
1391,1218,7877,1640,272,4361
5624,2554,2607,219,7599,5404
2590,708,1640,2180,4573,1807
272,341,6808,316,4361,5401
1391,555,2607,5490,4637,1089
303,87,224,7599,204,1218
7877,2016,321,219,2554,1391
2590,4361,5624,4573,341,87
204,2180,7877,2607,303,316
1807,2554,5401,555,7599,321
224,1640,1089,1218,2016,6808
4637,272,219,708,5490,5404
5401,4573,204,2607,1640,2016
555,5404,272,341,321,708
1218,316,2554,224,219,5624
2180,87,4361,4637,2590,7877
303,7599,1391,5490,1807,6808
1089,2016,2590,87,5624,272
7599,341,2607,321,219,1640
1391,4573,4361,4637,5404,5401
2554,6808,555,1807,7877,708
1089,204,316,303,5490,1218
224,2016,2554,2180,1391,4637
1089,7599,5490,6808,4361,219
1807,2607,2590,316,224,204
2180,341,5404,5401,1218,272
555,87,708,321,5624,303
1640,7877,6808,4573,2590,272
7599,1807,4637,316,5624,1391
555,303,2180,2016,204,5404
4361,4573,5490,2554,224,341
87,5401,321,7877,2607,1089
219,1218,341,708,1640,303
5624,2180,5490,1391,1089,272
1807,4361,1218,7877,5401,555
6808,321,316,4573,2607,4637
204,2590,224,1640,5404,2554
708,219,7599,2016,87,1391
204,4637,5490,341,1640,5624
5404,321,224,5401,1089,6808
1218,2607,708,2590,7599,2554
303,272,1807,4361,2180,2016
316,87,7877,4573,555,219
